Petition Department,Petition Description,Status,
Education Department,"No proper attendance tracking, leading to proxy attendance cases.",Urgent,2563
Education Department,"Poor student-teacher ratio, reducing individual attention.",Urgent,2332
Education Department,Lack of safe drinking water filters in hostels.,Urgent,997
Women & Child Welfare,Inadequate support for working mothers,Important,2288
Education Department,"Poor ventilation in classrooms leading to suffocation, discomfort, and reduced concentration levels among students.",Urgent,204
Education Department,No systematic approach to teaching leadership and teamwork skills.,Important,925
Education Department,Poor handwriting improvement sessions for primary students.,Important,1889
Education Department,No emphasis on mindfulness and stress management for students.,Important,1043
Education Department,Delay in textbook distribution ,Important,1352
Women & Child Welfare,"Absence of panic buttons and emergency alert systems in public transport, preventing women from seeking immediate help when facing harassment.",Urgent,1676
Education Department,"Teachers engaging in physical punishment despite strict laws against corporal punishment, leading to trauma among students.",Urgent,2046
Education Department,Demand for inclusive Education Department for children with disabilities.,Urgent,1344
Education Department,"Overcrowded classrooms with excessive student numbers critically compromise the quality of Education Department, limit individual attention, and significantly hamper effective learning processes.",Urgent,1394
Education Department,"Teachers using abusive language, demoralizing students.",Urgent,361
Education Department,Lack of proper transport subsidies for students from remote areas.,Important,354
